Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Base,-0.142308649748716,-0.108885138072049,-0.0815546104060888,0,0,0,5.32485368404392,0.0149047739356473,1.4797523173283E-06,7.80337094206551E-06,0.0219378727246539,-4.01751589933623E-06,0.0232030208257597,0,0,0,0,0,0,package://05143/meshes/Base.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://05143/meshes/Base.STL,,Body-1,좌표계1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.0666875210853829,0.00348950989660712,-0.0643544912998068,0,0,0,0.26437001106022,3.20746276473044E-05,-1.44118283518155E-07,-6.30853084354406E-08,6.22704126338821E-05,-2.01894652761254E-07,6.28519936953906E-05,0,0,0,0,0,0,package://05143/meshes/LFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://05143/meshes/LFS.STL,,Suspensionsystem-1,Origin_LFS,Axis_LFS,LFS,prismatic,-0.0508115623588095,-0.315160991135077,0.0467006291026886,-0.307630277882593,0,1.5707963267949,Base,0,0.302801016091279,-0.953053799454201,0,0,0,0,,,,,,,,
LFW,-0.012315724574073,0,0,0,0,0,0.193585420779862,0.000253081141332254,-5.88092833198904E-37,5.1845054750851E-21,0.000136818598566517,7.17557753438369E-37,0.000136818598566517,0,0,0,0,0,0,package://05143/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://05143/meshes/LFW.STL,,wheel-4,Origin_LFW,Axis_LFW,LFW,continuous,0.00041099,-0.018372,-0.039304,-1.8707,0,3.1416,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,0.0724473276378514,-0.00248083053559417,-0.0665731861852051,0,0,0,0.264370011060221,3.20746276473045E-05,1.44118283518171E-07,6.3085308435442E-08,6.22704126338823E-05,-2.01894652761264E-07,6.28519936953909E-05,0,0,0,0,0,0,package://05143/meshes/RFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://05143/meshes/RFS.STL,,Suspensionsystem2-1,Origin_RFS,Axis_RFS,RFS,prismatic,-0.0121278542793212,0.104920797687545,0.0470160464849399,-0.307630277882592,0,-1.5707963267949,Base,0,0.302801016091278,-0.953053799454202,0,0,0,0,,,,,,,,
RFW,-0.012316,0,1.3878E-17,0,0,0,0.19359,0.00025308,-1.235E-21,2.0716E-21,0.00013682,3.3881E-21,0.00013682,0,0,0,0,0,0,package://05143/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://05143/meshes/RFW.STL,,wheel-3,Origin_RFW,Axis_RFW,RFW,continuous,0.0061708,0.00091629,-0.033508,-0.70714,0,3.1416,RFS,1,0,0,3.1,7,,,,,,,,,,
LBS,0.0754022136877307,-0.00959516940601612,-0.0220143953841323,0,0,0,0.197009126147877,1.68802738687173E-05,-1.14223811246579E-21,2.10917851921342E-20,5.0218488566757E-05,1.0508875929185E-06,4.72447473350487E-05,0,0,0,0,0,0,package://05143/meshes/LBS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://05143/meshes/LBS.STL,,suspensioncastle-1,Origin_LBS,Axis_LBS,LBS,prismatic,-0.230811562358809,-0.315160991135077,-0.00442015747600877,-0.307630277882593,0,1.5707963267949,Base,0,0.302801016091285,-0.953053799454199,0,0,0,0,,,,,,,,
LBC,0.000464526735875104,-0.0102558391455497,0,0,0,0,0.0433962459602619,2.11800424724879E-05,5.53822046363834E-07,1.58818677610181E-22,1.76453344713605E-06,-2.19682627081833E-20,2.14947085785555E-05,0,0,0,0,0,0,package://05143/meshes/LBC.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://05143/meshes/LBC.STL,,CastleCatcher_small_wheel-3,Origin_LBC,Axis_LBC,LBC,continuous,0.0411609911350767,-0.0150684419408271,-0.00478749419309586,-1.87842355251803,-0.00139263512405294,3.13720937469085,LBS,0,1,0,,,,,,,,,,,,
LBW,0.0064727,1.3878E-17,2.7756E-17,0,0,0,0.036889,1.6727E-05,1.7292E-21,-4.7679E-21,8.8793E-06,2.1176E-22,8.8793E-06,0,0,0,0,0,0,package://05143/meshes/LBW.STL,1,1,1,1,0,0,0,0,0,0,package://05143/meshes/LBW.STL,,wheel_small-2,Origin_LBW,Axis_LBW,LBW,continuous,0.0095006,-0.037729,0,-2.9585,0,0,LBC,1,0,0,3.1,7,,,,,,,,,,
RBS,0.0754022136877308,-0.00955739367510416,-0.0221332929503895,0,0,0,0.197009126147877,1.68802738687173E-05,-2.46037721499561E-21,6.53516436330766E-22,5.0218488566757E-05,1.05088759291849E-06,4.72447473350487E-05,0,0,0,0,0,0,package://05143/meshes/RBS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://05143/meshes/RBS.STL,,suspensioncastle-2,Origin_RBS,Axis_RBS,RBS,prismatic,-0.199190174459287,0.0991609911350767,-0.00429540316903771,-0.307630277882593,0,-1.5707963267949,Base,0,0.302801016091279,-0.953053799454201,0,0,0,0,,,,,,,,
RBC,0.000464526735875104,-0.0101310848385787,2.77555756156289E-17,0,0,0,0.0433962459602619,2.11800424724879E-05,5.53822046363849E-07,-4.96338963272466E-22,1.76453344713605E-06,2.09251879557539E-20,2.14947085785555E-05,0,0,0,0,0,0,package://05143/meshes/RBC.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://05143/meshes/RBC.STL,,CastleCatcher_small_wheel-4,Origin_RBC,Axis_RBC,RBC,continuous,0.0411609911350767,-0.0150684419408278,-0.00478749419309604,-1.87842660467749,0,3.14159265358979,RBS,0,1,0,,,,,,,,,,,,
